classifier,method,f1_pos,recall_pos,precision_pos,f1_weighted
RandomForest,Baseline RF,0.991,0.9821,1.0,0.9976
RandomForest,ROS RF,0.991,0.9821,1.0,0.9976
RandomForest,SMOTE RF,0.9735,0.9821,0.9649,0.9929
RandomForest,SMOTE-TOMEK RF,0.9735,0.9821,0.9649,0.9929
RandomForest,Class Weight RF,0.9725,0.9464,1.0,0.9928
RandomForest,RUS RF,0.9167,0.9821,0.8594,0.9769
SVM,ROS SVM,0.8136,0.8571,0.7742,0.9487
SVM,Class Weight SVM,0.7937,0.8929,0.7143,0.9409
SVM,SMOTE SVM,0.7899,0.8393,0.746,0.9419
SVM,SMOTE-TOMEK SVM,0.7899,0.8393,0.746,0.9419
RandomForest,SMOTE-ENN RF,0.7857,0.9821,0.6548,0.9343
SVM,SMOTE-ENN SVM,0.7391,0.9107,0.622,0.9208
SVM,Baseline SVM,0.7,0.625,0.7955,0.9249
SVM,RUS SVM,0.6853,0.875,0.5632,0.9021
LogReg,Baseline LR,0.6604,0.625,0.7,0.9122
KNN,CC-SMOTE KNN,0.6545,0.6429,0.6667,0.9088
SVM,CC-SMOTE SVM,0.6279,0.9643,0.4655,0.8674
LogReg,CC-SMOTE LR,0.6194,0.8571,0.4848,0.8746
LogReg,RUS LR,0.6014,0.7679,0.4943,0.876
KNN,RUS KNN,0.597,0.7143,0.5128,0.88
LogReg,SMOTE LR,0.5957,0.75,0.4941,0.8754
LogReg,SMOTE-TOMEK LR,0.5957,0.75,0.4941,0.8754
LogReg,Class Weight LR,0.589,0.7679,0.4778,0.8703
LogReg,ROS LR,0.589,0.7679,0.4778,0.8703
KNN,SMOTE KNN,0.585,0.7679,0.4725,0.8684
KNN,SMOTE-TOMEK KNN,0.585,0.7679,0.4725,0.8684
KNN,SMOTE-ENN KNN,0.5714,0.8214,0.4381,0.8548
LogReg,SMOTE-ENN LR,0.5696,0.8036,0.4412,0.8562
KNN,Baseline KNN,0.5682,0.4464,0.7812,0.8986
KNN,Class Weight KNN,0.5682,0.4464,0.7812,0.8986
KNN,ROS KNN,0.5672,0.6786,0.4872,0.8711
RandomForest,CC-SMOTE RF,0.2388,1.0,0.1356,0.0645
