name,Element,Weapon Type,region,star,Ascension Bonus,bodyType,Fielder-Type,DPS,Support,Survivability,use,own,pull_number
Kamisato Ayaka,Cryo,Sword,INAZUMA,5,Critical Damage,GIRL,On-Field,1,0,0,1164,36258,146083.482
Jean,Anemo,Sword,MONDSTADT,5,Healing Bonus,LADY,Off-Field,0,0,1,681,72780,250581.54
Lisa,Electro,Catalyst,MONDSTADT,4,Elemental Mastery,LADY,Off-Field,1,0,0,18,77430,400003.3799999999
Barbara,Hydro,Catalyst,MONDSTADT,4,HP%,GIRL,Off-Field,0,0,1,1398,77430,480762.87000000005
Kaeya,Cryo,Sword,MONDSTADT,4,Energy Recharge,MALE,Off-Field,1,0,0,120,77430,367792.5
Diluc,Pyro,Claymore,MONDSTADT,5,Critical Rate,MALE,On-Field,1,0,0,270,71487,386816.157
Razor,Electro,Claymore,MONDSTADT,4,Physical Damage Bonus,BOY,On-Field,1,0,0,18,73572,380367.24
Amber,Pyro,Bow,MONDSTADT,4,Attack%,GIRL,Off-Field,1,0,0,75,77430,250873.2
Venti,Anemo,Bow,MONDSTADT,5,Energy Recharge,BOY,Off-Field,1,1,0,204,28662,113042.928
Xiangling,Pyro,Polearm,LIYUE,4,Elemental Mastery,GIRL,Off-Field,1,0,0,10191,77430,489977.04
Beidou,Electro,Claymore,LIYUE,4,Electro Damage Bonus,LADY,Off-Field,1,0,1,126,75966,372765.162
Xingqiu,Hydro,Sword,LIYUE,4,Attack%,BOY,Off-Field,1,0,1,17385,77394,516063.1919999999
Xiao,Anemo,Polearm,LIYUE,5,Critical Rate,BOY,On-Field,1,0,0,564,23013,119828.69099999999
Ningguang,Geo,Catalyst,LIYUE,4,Geo Damage Bonus,LADY,On-Field,1,0,0,15,74634,477657.60000000003
Klee,Pyro,Catalyst,MONDSTADT,5,Pyro Damage Bonus,LOLI,On-Field,1,0,0,471,13842,32210.334
Zhongli,Geo,Polearm,LIYUE,5,Geo Damage Bonus,MALE,Off-Field,0,1,1,14244,60894,79832.034
Fischl,Electro,Bow,MONDSTADT,4,Attack%,GIRL,Off-Field,1,0,0,3075,77004,496906.81200000003
Bennett,Pyro,Sword,MONDSTADT,4,Energy Recharge,BOY,Off-Field,0,1,1,57123,77430,497023.17000000004
Tartaglia,Hydro,Bow,FATUI,5,Hydro Damage Bonus,MALE,On-Field,1,0,0,696,20949,79836.639
Noelle,Geo,Claymore,MONDSTADT,4,Defense%,GIRL,On-Field,1,0,1,126,77430,518393.85000000003
Qiqi,Cryo,Sword,LIYUE,5,Healing Bonus,LOLI,Off-Field,0,0,1,75,71106,332776.07999999996
Chongyun,Cryo,Claymore,LIYUE,4,Attack%,BOY,Off-Field,1,1,0,45,75594,408434.38200000004
Ganyu,Cryo,Bow,LIYUE,5,Critical Damage,GIRL,On-Field,1,0,0,474,25782,96141.07800000001
Albedo,Geo,Sword,MONDSTADT,5,Geo Damage Bonus,BOY,Off-Field,1,0,0,84,8433,29861.253000000004
Diona,Cryo,Bow,MONDSTADT,4,Cryo Damage Bonus,LOLI,Off-Field,0,0,1,2688,76719,498289.9049999999
Mona,Hydro,Catalyst,MONDSTADT,5,Energy Recharge,GIRL,Off-Field,0,1,0,2205,73683,250006.41900000002
Keqing,Electro,Sword,LIYUE,5,Critical Damage,GIRL,On-Field,1,0,0,765,72846,387395.028
Sucrose,Anemo,Catalyst,MONDSTADT,4,Anemo Damage Bonus,GIRL,Off-Field,0,1,0,3774,76236,426845.364
Xinyan,Pyro,Claymore,LIYUE,4,Attack%,GIRL,Off-Field,0,0,1,9,74130,74130.0
Rosaria,Cryo,Polearm,MONDSTADT,4,Attack%,LADY,Off-Field,1,0,0,258,76470,422190.87
Hu Tao,Pyro,Polearm,LIYUE,5,Critical Damage,GIRL,On-Field,1,0,0,3270,32397,97223.397
Kaedehara Kazuha,Anemo,Sword,INAZUMA,5,Elemental Mastery,BOY,Off-Field,0,1,0,15219,69219,94622.37299999999
Yanfei,Pyro,Catalyst,LIYUE,4,Pyro Damage Bonus,GIRL,On-Field,1,0,0,186,76383,459443.74500000005
Yoimiya,Pyro,Bow,INAZUMA,5,Critical Rate,GIRL,On-Field,1,0,0,1662,23445,64356.525
Thoma,Pyro,Polearm,INAZUMA,4,Attack%,MALE,Off-Field,0,0,1,987,75570,489240.1800000001
Eula,Cryo,Claymore,MONDSTADT,5,Critical Damage,LADY,On-Field,1,0,0,174,11592,64579.032
Raiden Shogun,Electro,Polearm,INAZUMA,5,Energy Recharge,LADY,On-Field,1,1,0,3507,64386,161029.386
Sayu,Anemo,Claymore,INAZUMA,4,Elemental Mastery,LOLI,Off-Field,0,0,1,33,73146,359439.44399999996
Sangonomiya Kokomi,Hydro,Catalyst,INAZUMA,5,Hydro Damage Bonus,GIRL,Off-Field,0,1,1,6927,30594,36100.92
Gorou,Geo,Bow,INAZUMA,4,Geo Damage Bonus,BOY,Off-Field,0,1,0,201,75165,484964.58
