name,Weapon Type,Region,Body Type
Kamisato Ayaka,Sword,Inazuma,Girl
Jean,Sword,Mondstadt,Lady
Lisa,Catalyst,Mondstadt,Lady
Barbara,Catalyst,Mondstadt,Girl
Kaeya,Sword,Mondstadt,Male
Diluc,Claymore,Mondstadt,Male
Razor,Claymore,Mondstadt,Boy
Amber,Bow,Mondstadt,Girl
Venti,Bow,Mondstadt,Boy
Xiangling,Polearm,Liyue,Girl
Beidou,Claymore,Liyue,Lady
Xingqiu,Sword,Liyue,Boy
Xiao,Polearm,Liyue,Boy
Ningguang,Catalyst,Liyue,Lady
Klee,Catalyst,Mondstadt,Loli
Zhongli,Polearm,Liyue,Male
Fischl,Bow,Mondstadt,Girl
Bennett,Sword,Mondstadt,Boy
Tartaglia,Bow,Fatui,Male
Noelle,Claymore,Mondstadt,Girl
Qiqi,Sword,Liyue,Loli
Chongyun,Claymore,Liyue,Boy
Ganyu,Bow,Liyue,Girl
Albedo,Sword,Mondstadt,Boy
Diona,Bow,Mondstadt,Loli
Mona,Catalyst,Mondstadt,Girl
Keqing,Sword,Liyue,Girl
Sucrose,Catalyst,Mondstadt,Girl
Xinyan,Claymore,Liyue,Girl
Rosaria,Polearm,Mondstadt,Lady
Hu Tao,Polearm,Liyue,Girl
Kaedehara Kazuha,Sword,Inazuma,Boy
Yanfei,Catalyst,Liyue,Girl
Yoimiya,Bow,Inazuma,Girl
Thoma,Polearm,Inazuma,Male
Eula,Claymore,Mondstadt,Lady
Raiden Shogun,Polearm,Inazuma,Lady
Sayu,Claymore,Inazuma,Loli
Sangonomiya Kokomi,Catalyst,Inazuma,Girl
Gorou,Bow,Inazuma,Boy
Kujou Sara,Bow,Inazuma,Lady
Arataki Itto,Claymore,Inazuma,Male
Yae Miko,Catalyst,Inazuma,Lady
Shikanoin Heizou,Catalyst,Inazuma,Boy
Yelan,Bow,Liyue,Lady
Kirara,Sword,Inazuma,Girl
Aloy,Bow,Ranger,Girl
Shenhe,Polearm,Liyue,Lady
Yun Jin,Polearm,Liyue,Girl
Kuki Shinobu,Sword,Inazuma,Girl
Kamisato Ayato,Sword,Inazuma,Male
Collei,Bow,Sumeru,Girl
Dori,Claymore,Sumeru,Loli
Tighnari,Bow,Sumeru,Boy
Nilou,Sword,Sumeru,Girl
Cyno,Polearm,Sumeru,Boy
Candace,Polearm,Sumeru,Lady
Nahida,Catalyst,Sumeru,Loli
Layla,Sword,Sumeru,Girl
Wanderer,Catalyst,Sumeru,Boy
Faruzan,Bow,Sumeru,Girl
Yaoyao,Polearm,Liyue,Loli
Alhaitham,Sword,Sumeru,Male
Dehya,Claymore,Sumeru,Lady
Mika,Polearm,Mondstadt,Boy
Kaveh,Claymore,Sumeru,Male
Baizhu,Catalyst,Liyue,Male
Lynette,Sword,Fontaine,Girl
Lyney,Bow,Fontaine,Boy
Freminet,Claymore,Fontaine,Boy
Wriothesley,Catalyst,Fontaine,Male
Neuvillette,Catalyst,Fontaine,Male
Charlotte,Catalyst,Fontaine,Girl
Furina,Sword,Fontaine,Girl
Chevreuse,Polearm,Fontaine,Girl
Navia,Claymore,Fontaine,Lady
Gaming,Claymore,Liyue,Boy
Xianyun,Catalyst,Liyue,Lady
Chiori,Sword,Inazuma,Girl
Sigewinne,Bow,Fontaine,Loli
Arlecchino,Polearm,Fatui,Lady
Sethos,Bow,Sumeru,Boy
Clorinde,Sword,Fontaine,Lady
Emilie,Polearm,Fontaine,Girl
Kachina,Polearm,Natlan,Loli
Kinich,Claymore,Natlan,Boy
Mualani,Catalyst,Natlan,Girl
Xilonen,Sword,Natlan,Lady
Chasca,Bow,Natlan,Lady
Ororon,Bow,Natlan,Male
Mavuika,Claymore,Natlan,Lady
Citlali,Catalyst,Natlan,Girl
Lan Yan,Catalyst,Liyue,Girl
Yumemizuki Mizuki,Catalyst,Inazuma,Girl
Iansan,Polearm,Natlan,Loli
Varesa,Catalyst,Natlan,Girl
Escoffier,Polearm,Fontaine,Girl
Ifa,Catalyst,Natlan,Male
Skirk,Sword,Omni_Scourge,Girl
Dahlia,Sword,Mondstadt,Boy
Ineffa,Polearm,Nodkrai,Girl
Lauma,Catalyst,Nodkrai,Lady
Flins,Polearm,Nodkrai,Male
Aino,Claymore,Nodkrai,Loli
Nefer,Catalyst,Nodkrai,Lady
