Name,Element,On-Field,Off-Field,DPS,Support,Survivability,Weapon Type,Region,Body Type,Line Count,Star,Use,Own,Pull Number,Free
Aino,Hydro,0,1,1,0,0,Claymore,Nodkrai,Loli,430,4,22134,76710,283366,0
Albedo,Geo,0,1,1,0,0,Sword,Mondstadt,Boy,1434,5,84,8433,29861,0
Alhaitham,Dendro,1,0,1,0,0,Sword,Sumeru,Male,1226,5,2394,26184,56138,0
Aloy,Cryo,1,0,1,0,0,Bow,Ranger,Girl,0,5,12,19206,19206,0
Amber,Pyro,0,1,1,0,0,Bow,Mondstadt,Girl,779,4,75,77430,250873,0
Arataki Itto,Geo,1,0,1,0,0,Claymore,Inazuma,Male,1365,5,132,10257,55418,0
Arlecchino,Pyro,1,0,1,0,0,Polearm,Fatui,Lady,616,5,26589,45498,109422,0
Baizhu,Dendro,0,1,0,1,1,Catalyst,Liyue,Male,555,5,4953,19320,32303,0
Barbara,Hydro,0,1,0,0,1,Catalyst,Mondstadt,Girl,788,4,1398,77430,480762,0
Beidou,Electro,0,1,1,0,1,Claymore,Liyue,Lady,952,4,126,75966,372765,0
Bennett,Pyro,0,1,0,1,1,Sword,Mondstadt,Boy,713,4,57123,77430,497023,0
Candace,Hydro,0,1,0,1,0,Polearm,Sumeru,Lady,502,4,30,76812,430147,0
Charlotte,Cryo,0,1,0,0,1,Catalyst,Fontaine,Girl,700,4,876,74046,322766,0
Chasca,Anemo,1,0,1,0,0,Bow,Natlan,Lady,826,5,2559,24168,101239,0
Chevreuse,Pyro,0,1,0,1,1,Polearm,Fontaine,Girl,685,4,5292,74346,447934,0
Chiori,Geo,0,1,1,0,0,Sword,Inazuma,Girl,616,5,699,9261,47610,0
Chongyun,Cryo,0,1,1,1,0,Claymore,Liyue,Boy,742,4,45,75594,408434,0
Citlali,Cryo,0,1,0,1,1,Catalyst,Natlan,Girl,1312,5,45507,59631,90042,0
Clorinde,Electro,1,0,1,0,0,Sword,Fontaine,Lady,757,5,1167,20139,62108,0
Collei,Dendro,0,1,1,0,0,Bow,Sumeru,Girl,993,4,873,77430,436163,0
Cyno,Electro,1,0,1,0,0,Polearm,Sumeru,Boy,1377,5,285,12618,61260,0
Dahlia,Hydro,0,1,0,0,1,Sword,Mondstadt,Boy,100,4,813,60294,257937,0
Dehya,Pyro,0,1,1,0,1,Claymore,Sumeru,Lady,1172,5,627,68676,246409,1
Diluc,Pyro,1,0,1,0,0,Claymore,Mondstadt,Male,701,5,270,71487,386816,1
Diona,Cryo,0,1,0,0,1,Bow,Mondstadt,Loli,855,4,2688,76719,498289,0
Dori,Electro,0,1,0,0,1,Claymore,Sumeru,Loli,458,4,219,75834,516202,0
Emilie,Dendro,0,1,1,0,0,Polearm,Fontaine,Girl,434,5,1107,11517,16665,0
Escoffier,Cryo,0,1,1,1,1,Polearm,Fontaine,Girl,418,5,10656,38406,46048,0
Eula,Cryo,1,0,1,0,0,Claymore,Mondstadt,Lady,662,5,174,11592,64579,0
Faruzan,Anemo,0,1,0,1,0,Bow,Sumeru,Girl,800,4,1521,75882,521612,0
Fischl,Electro,0,1,1,0,0,Bow,Mondstadt,Girl,495,4,3075,77004,496906,0
Flins,Electro,1,0,1,0,0,Polearm,Nodkrai,Male,427,5,15000,27648,59111,0
Freminet,Cryo,1,0,1,0,0,Claymore,Fontaine,Boy,466,4,12,72528,435168,0
Furina,Hydro,0,1,1,1,1,Sword,Fontaine,Girl,1297,5,52212,74730,222471,0
