Name,Star,Use,Own,Pull Number
Lauma,5,31950,34119,43433
Nefer,5,23709,27285,38035
Citlali,5,45507,59631,90042
Bennett,4,57123,77430,497023
Xilonen,5,46416,63108,85637
Furina,5,52212,74730,222471
Mavuika,5,34599,52989,110535
Nahida,5,43650,68082,121390
Ineffa,5,13539,23169,24721
Arlecchino,5,26589,45498,109422
Flins,5,15000,27648,59111
Neuvillette,5,22533,55080,147228
Yelan,5,16695,54702,118758
Nilou,5,7077,23643,50406
Aino,4,22134,76710,283366
Escoffier,5,10656,38406,46048
Baizhu,5,4953,19320,32303
Zhongli,5,14244,60894,79832
Sangonomiya Kokomi,5,6927,30594,36100
Xingqiu,4,17385,77394,516063
Kaedehara Kazuha,5,15219,69219,94622
Kuki Shinobu,4,16521,76389,418917
Skirk,5,9558,49833,97573
Xiangling,4,10191,77430,489977
Wriothesley,5,1725,13389,77321
Kinich,5,2406,19725,76533
Varesa,5,2037,17475,31577
Chasca,5,2559,24168,101239
Hu Tao,5,3270,32397,97223
Sigewinne,5,897,9192,19220
Mualani,5,1902,19701,56049
Emilie,5,1107,11517,16665
Shenhe,5,2103,22806,57425
Alhaitham,5,2394,26184,56138
Iansan,4,5775,64023,262878
Chiori,5,699,9261,47610
Chevreuse,4,5292,74346,447934
Yoimiya,5,1662,23445,64356
Clorinde,5,1167,20139,62108
Raiden Shogun,5,3507,64386,161029
Lyney,5,507,9960,41094
Sucrose,4,3774,76236,426845
Wanderer,5,1176,26565,159230
Fischl,4,3075,77004,496906
Xianyun,5,1182,30576,78121
Navia,5,1041,28485,78533
Traveler,5,2853,77430,520329
Diona,4,2688,76719,498289
Klee,5,471,13842,32210
Yaoyao,4,2619,77058,420428
Lan Yan,4,2460,72786,342458
Tartaglia,5,696,20949,79836
Kamisato Ayaka,5,1164,36258,146083
Mona,5,2205,73683,250006
Kamisato Ayato,5,498,18468,87926
Xiao,5,564,23013,119828
Yae Miko,5,717,29538,117945
Cyno,5,285,12618,61260
Ororon,4,1554,75405,334722
Faruzan,4,1521,75882,521612
Ganyu,5,474,25782,96141
Barbara,4,1398,77430,480762
Tighnari,5,1206,74100,270761
Eula,5,174,11592,64579
Dahlia,4,813,60294,257937
Thoma,4,987,75570,489240
Arataki Itto,5,132,10257,55418
Charlotte,4,876,74046,322766
Keqing,5,765,72846,387395
Collei,4,873,77430,436163
Albedo,5,84,8433,29861
Jean,5,681,72780,250581
Layla,4,672,75300,410686
Dehya,5,627,68676,246409
Kujou Sara,4,600,75468,498843
Venti,5,204,28662,113042
Kirara,4,459,74748,359388
Kaveh,4,291,72840,338196
Diluc,5,270,71487,386816
Gorou,4,201,75165,484964
Gaming,4,207,75237,515599
Dori,4,219,75834,516202
Rosaria,4,258,76470,422190
Yun Jin,4,117,73437,468601
Kaeya,4,120,77430,367792
Beidou,4,126,75966,372765
Yanfei,4,186,76383,459443
Lynette,4,129,77328,370710
Mika,4,117,73098,425576
Noelle,4,126,77430,518393
Qiqi,5,75,71106,332776
Lisa,4,18,77430,400003
Ifa,4,48,62658,184277
Ningguang,4,15,74634,477657
Kachina,4,102,77244,329831
Candace,4,30,76812,430147
Aloy,5,12,19206,19206
Amber,4,75,77430,250873
Sayu,4,33,73146,359439
Yumemizuki Mizuki,5,42,58308,145303
Freminet,4,12,72528,435168
Sethos,4,12,76470,516172
Xinyan,4,9,74130,74130
Chongyun,4,45,75594,408434
Razor,4,18,73572,380367
Shikanoin Heizou,4,21,75210,472694
