name,Element,Weapon Type,region,star,Ascension Bonus,bodyType,Fielder-Type,DPS,Support,Survivability,use,own,line_count,pull_number
Kamisato Ayaka,Cryo,Sword,INAZUMA,5,Critical Damage,GIRL,On-Field,1,0,0,1164,36258,959,146083.482
Jean,Anemo,Sword,MONDSTADT,5,Healing Bonus,LADY,Off-Field,0,0,1,681,72780,809,250581.54
Lisa,Electro,Catalyst,MONDSTADT,4,Elemental Mastery,LADY,Off-Field,1,0,0,18,77430,841,400003.38
Barbara,Hydro,Catalyst,MONDSTADT,4,HP%,GIRL,Off-Field,0,0,1,1398,77430,788,480762.87
Kaeya,Cryo,Sword,MONDSTADT,4,Energy Recharge,MALE,Off-Field,1,0,0,120,77430,1395,367792.5
Diluc,Pyro,Claymore,MONDSTADT,5,Critical Rate,MALE,On-Field,1,0,0,270,71487,701,386816.157
Razor,Electro,Claymore,MONDSTADT,4,Physical Damage Bonus,BOY,On-Field,1,0,0,18,73572,436,380367.24
Amber,Pyro,Bow,MONDSTADT,4,Attack%,GIRL,Off-Field,1,0,0,75,77430,779,250873.2
Venti,Anemo,Bow,MONDSTADT,5,Energy Recharge,BOY,Off-Field,1,1,0,204,28662,1376,113042.928
Xiangling,Pyro,Polearm,LIYUE,4,Elemental Mastery,GIRL,Off-Field,1,0,0,10191,77430,781,489977.04
Beidou,Electro,Claymore,LIYUE,4,Electro Damage Bonus,LADY,Off-Field,1,0,1,126,75966,952,372765.162
Xingqiu,Hydro,Sword,LIYUE,4,Attack%,BOY,Off-Field,1,0,1,17385,77394,623,516063.192
Xiao,Anemo,Polearm,LIYUE,5,Critical Rate,BOY,On-Field,1,0,0,564,23013,801,119828.691
Ningguang,Geo,Catalyst,LIYUE,4,Geo Damage Bonus,LADY,On-Field,1,0,0,15,74634,1020,477657.6
Klee,Pyro,Catalyst,MONDSTADT,5,Pyro Damage Bonus,LOLI,On-Field,1,0,0,471,13842,932,32210.334
Zhongli,Geo,Polearm,LIYUE,5,Geo Damage Bonus,MALE,Off-Field,0,1,1,14244,60894,1271,79832.034
Fischl,Electro,Bow,MONDSTADT,4,Attack%,GIRL,Off-Field,1,0,0,3075,77004,495,496906.812
Bennett,Pyro,Sword,MONDSTADT,4,Energy Recharge,BOY,Off-Field,0,1,1,57123,77430,713,497023.17
Tartaglia,Hydro,Bow,FATUI,5,Hydro Damage Bonus,MALE,On-Field,1,0,0,696,20949,760,79836.639
Noelle,Geo,Claymore,MONDSTADT,4,Defense%,GIRL,On-Field,1,0,1,126,77430,989,518393.85
Qiqi,Cryo,Sword,LIYUE,5,Healing Bonus,LOLI,Off-Field,0,0,1,75,71106,254,332776.08
Chongyun,Cryo,Claymore,LIYUE,4,Attack%,BOY,Off-Field,1,1,0,45,75594,742,408434.382
Ganyu,Cryo,Bow,LIYUE,5,Critical Damage,GIRL,On-Field,1,0,0,474,25782,633,96141.078
Albedo,Geo,Sword,MONDSTADT,5,Geo Damage Bonus,BOY,Off-Field,1,0,0,84,8433,1434,29861.253
Diona,Cryo,Bow,MONDSTADT,4,Cryo Damage Bonus,LOLI,Off-Field,0,0,1,2688,76719,855,498289.905
