,5.8 I,6.0 I,6.1 I
Aino,,1.6910715651901733e+25,2.8505589194186973e+22
Albedo,,0.00012361509317887045,1.179700897177703e+19
Alhaitham,6888722.837259587,320776398889079.44,2.221330612847404e+17
Aloy,0.05733360586452625,0.2840258221047978,1088071.1016530567
Amber,4.810888902993568e-08,825.2164938018549,2.1258801155064614e+18
Arataki Itto,3.106405534492633,8549993795.246812,53278477760.30847
Arlecchino,1.2998182367066083e+19,6.542536654545714e+23,9.005729344103486e+22
Baizhu,5.09441335441321e+16,1.5446223535295898e+18,9.51178591210102e+22
Barbara,1.365219513267029e+23,2.5042951195450286e+18,5.006829789668314e+19
Beidou,12115255889.389917,6069161141.785742,9691139584819.502
Bennett,1.1120045053133764e+22,1.4335417892481552e+25,1.7841446481256748e+25
Candace,1104712293470.2185,68294130382021.23,5396128013.296087
Charlotte,1.2904557454672096e+20,1.2621582181961133e+20,7.474384318648466e+16
Chasca,3.3991870327464095e+18,1.1455206402800427e+26,3.0771466139741544e+19
Chevreuse,1.911302739834768e+22,2.986416360035949e+18,1.7753599665389592e+21
Chiori,9327488087532442.0,1.0074697947142601e+21,1.0530977155947923e+27
Chongyun,2.711943214142197e+18,373260772852421.06,6.524823493382461e+16
Citlali,1.2495119954929058e+23,4.086112292709743e+25,1.2657194506597825e+25
Clorinde,4.508963204837825e+16,1.0110548770648992e+25,8.963400764822803e+17
Collei,4805828.94634455,211035249423636.75,801250946427166.9
Cyno,60852256519.972496,1.798915982452293e+16,45514601754.839745
Dahlia,1.092745024020039e+17,1.1298894334176883e+17,5.754838231744922e+18
Dehya,2314502405950832.5,1.0834064615009195e+20,1.248702057280412e+19
Diluc,5.161414073607088e+16,3095617173259400.0,14835746275684.762
Diona,165951516809779.75,8.57415516829095e+23,1.588879282718641e+19
Dori,,236632831476.55182,986347618399.097
Emilie,1.1778619505421514e+16,4.66991008932485e+20,3832582123294496.5
Escoffier,1.0768223432084084e+22,2.764789692461421e+22,2.239424018747596e+19
Eula,2.5364704738992397e+17,5.1019280539679025e+20,128346462.24714951
Faruzan,294832563900894.75,6392845678691799.0,7.89480137932226e+21
Fischl,3.2883964984251056e+19,3.837218657375267e+26,1.667486389378077e+23
Flins,,,1.6658450825603016e+20
Freminet,,,0.00020096410408883977
Furina,7.241619215553025e+23,6.742159229138183e+26,7.143984639290621e+27
Gaming,1198393923414.7363,15336990.218646027,4611040260.887919
Ganyu,1.7030316308525904e+17,3.46942117091264e+25,6.594973391993681e+17
Gorou,2.6291733093974432e+17,7.660946191469262e+19,5.586251361304889e+26
Hu Tao,8064307198956.611,7.414437246987583e+23,2.769694236987964e+21
Iansan,3.26634455823683e+20,2.0201337220783268e+21,4.103791854904866e+19
Ifa,5532769.1949418085,4477097.623131562,7717747476.923776
Ineffa,6.727383842415751e+21,4.6815056827218865e+25,6.808892100841904e+24
Jean,4.6817982228221834e+20,195024063607638.22,6.696055481801135e+23
Kachina,888185168511716.0,6685508123829.772,375973572321363.75
Kaedehara Kazuha,6.164908785569275e+22,5.461461915183867e+23,6.322273025405978e+21
Kaeya,6.765019788201649e+16,29386.082687816866,1935067557592619.0
Kamisato Ayaka,5.109425802338904e+21,1.2314299371900158e+19,2.6050782306235965e+19
Kamisato Ayato,866982592512.2935,5566488325418003.0,560341142498863.94
Kaveh,0.00010667536428877221,5.8161208682579365e+23,1907402.9560802442
Keqing,6.2573654416139e+19,1.894172166676353e+20,1.107114131060008e+17
Kinich,9914050743748586.0,1.6522766396908081e+19,5508499757713860.0
Kirara,229348.03209679024,886423733599.2968,3.3650143633692676e+19
Klee,1.259221693632554e+19,9.622303040322e+24,4.003454389119116e+19
Kujou Sara,1280678023031433.2,3.6811384086314243e+24,2.8633788038509e+20
Kuki Shinobu,3.864366298455835e+21,1.9597610311736207e+24,4.4252607758124974e+20
Lan Yan,3835495756879735.5,12999534943.249012,2.218265994698019e+20
